GEOID,x_coords,y_coords
4019004615,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.7179816460551, 32.67468037586588, 32.58807783548743, 32.544776565298214, 32.58807783548743, 32.67468037586588, 32.7179816460551]"
4019004616,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.025161323027554, 31.98186005283833, 31.895257512459885, 31.851956242270663, 31.895257512459885, 31.98186005283833, 32.025161323027554]"
4019004617,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.93448799700121, 32.891186726811995, 32.804584186433544, 32.761282916244326, 32.804584186433544, 32.891186726811995, 32.93448799700121]"
4019004618,"[-112.1163, -112.04129999999999, -112.04129999999999, -112.1163, -112.1913, -112.1913, -112.1163]","[32.41487275473055, 32.371571484541334, 32.284968944162884, 32.241667673973666, 32.284968944162884, 32.371571484541334, 32.41487275473055]"
4019004322,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[31.678751161513773, 31.63544989132455, 31.548847350946108, 31.505546080756886, 31.548847350946108, 31.63544989132455, 31.678751161513773]"
4019004634,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.19429561813654, 33.150994347947325, 33.064391807568875, 33.021090537379656, 33.064391807568875, 33.150994347947325, 33.19429561813654]"
4019004636,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.804584186433544, 32.761282916244326, 32.674680375865876, 32.63137910567666, 32.674680375865876, 32.761282916244326, 32.804584186433544]"
4019004717,"[-112.1163, -112.04129999999999, -112.04129999999999, -112.1163, -112.1913, -112.1913, -112.1163]","[32.501475295108996, 32.45817402491978, 32.37157148454133, 32.32827021435211, 32.37157148454133, 32.45817402491978, 32.501475295108996]"
4017961300,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[34.23352610267787, 34.19022483248865, 34.1036222921102, 34.060321021920984, 34.1036222921102, 34.19022483248865, 34.23352610267787]"
4019004718,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[31.80865497208144, 31.76535370189222, 31.678751161513777, 31.635449891324555, 31.678751161513777, 31.76535370189222, 31.80865497208144]"
